N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,700",100,+0.12%,100,"4,877,312","5,969,783",53.57,"6,337,041",19.62,9.99,
2,SK하이닉스,"126,000","2,500",-1.95%,"5,000","917,283","728,002",49.56,"1,453,501",17.99,9.53,
3,카카오,"154,500",0,0.00%,100,"685,871","443,930",32.23,"3,601,439",224.89,2.70,
4,NAVER,"405,500","4,500",-1.10%,100,"666,088","164,263",56.88,"422,005",4.13,15.22,
5,삼성전자우,"75,000",200,+0.27%,100,"617,165","822,887",76.38,"819,074",18.01,N/A,
6,LG화학,"833,000","5,000",-0.60%,"5,000","588,034","70,592",46.38,"46,461",36.26,2.93,
7,삼성바이오로직스,"844,000","5,000",-0.59%,"2,500","558,433","66,165",10.11,"22,889",210.47,N/A,
8,현대차,"240,500","2,500",-1.03%,"5,000","513,872","213,668",29.78,"379,943",29.11,2.04,
9,삼성SDI,"682,000","6,000",-0.87%,"5,000","468,974","68,765",42.88,"92,392",66.80,4.54,
10,셀트리온,"268,000","2,500",+0.94%,"1,000","369,616","137,917",20.76,"337,192",61.48,16.68,
11,기아,"89,200","1,500",-1.65%,"5,000","361,584","405,363",33.75,"1,373,633",16.02,5.05,
12,POSCO,"354,000","2,000",+0.57%,"5,000","308,641","87,187",53.78,"214,649",13.83,3.61,
13,현대모비스,"290,500","2,000",-0.68%,"5,000","275,374","94,793",36.67,"128,059",15.50,4.66,
14,LG생활건강,"1,750,000","13,000",-0.74%,"5,000","273,318","15,618",46.34,"13,728",37.72,17.92,
15,LG전자,"162,000","1,500",-0.92%,"5,000","265,109","163,648",31.10,"641,485",15.09,13.23,
16,SK이노베이션,"285,500","4,500",-1.55%,"5,000","263,989","92,466",23.97,"315,549",-27.00,-13.58,
17,삼성물산,"136,500",0,0.00%,100,"255,101","186,887",14.59,"152,146",16.26,3.81,
18,KB금융,"57,000",300,-0.52%,"5,000","237,011","415,808",68.95,"638,326",5.93,8.53,
19,SK텔레콤,"327,000",500,+0.15%,500,"235,637","72,060",45.68,"87,366",15.06,6.44,
20,신한지주,"41,800",150,+0.36%,"5,000","215,939","516,600",60.72,"885,123",5.87,8.20,
21,SK,"287,000","3,000",-1.03%,200,"201,934","70,360",20.35,"72,781",33.42,1.11,
22,엔씨소프트,"821,000","5,000",-0.61%,500,"180,243","21,954",51.82,"22,175",38.12,20.83,
23,LG,"104,000","2,500",-2.35%,"5,000","163,593","157,301",33.67,"148,033",9.54,7.50,
24,삼성생명,"81,300",0,0.00%,500,"162,600","200,000",13.36,"104,691",7.66,3.53,
25,한국전력,"25,000",100,-0.40%,"5,000","160,491","641,964",15.53,"1,186,283",7.81,2.91,
26,HMM,"44,400","1,350",+3.14%,"5,000","153,354","345,392",12.65,"7,843,712",42.09,8.93,
27,아모레퍼시픽,"254,000","2,000",-0.78%,500,"148,485","58,458",33.86,"92,589",177.75,0.78,
28,삼성에스디에스,"186,000",0,0.00%,500,"143,923","77,378",11.76,"33,955",22.87,6.71,
29,하나금융지주,"47,550",200,+0.42%,"5,000","142,765","300,242",68.42,"971,288",5.07,8.96,
30,삼성전기,"173,000","2,000",-1.14%,"5,000","129,220","74,694",30.96,"151,930",19.04,10.92,
31,SK아이이테크놀로지,"169,000","3,500",-2.03%,"1,000","120,493","71,298",5.59,"542,875",N/A,11.00,
32,SK바이오사이언스,"157,500","4,500",+2.94%,500,"120,488","76,500",3.32,"578,201",122.38,13.25,
33,S-Oil,"106,000","2,000",+1.92%,"2,500","119,338","112,583",77.35,"240,379",28.80,-13.07,
34,하이브,"311,000","3,000",-0.96%,500,"117,718","37,852",12.55,"133,322",110.64,12.52,
35,KT&G,"84,600",100,-0.12%,"5,000","116,149","137,292",38.06,"201,337",10.08,13.22,
36,넷마블,"131,000",500,-0.38%,100,"112,599","85,954",22.90,"107,880",35.64,6.35,
37,포스코케미칼,"144,000","2,500",-1.71%,500,"111,547","77,463",7.60,"157,639",173.08,2.96,
38,대한항공,"31,350",600,-1.88%,"5,000","109,042","347,821",11.05,"1,426,459",13.40,-7.22,
39,삼성화재,"224,000","1,000",+0.45%,500,"106,120","47,375",48.08,"57,491",11.16,4.96,
40,두산중공업,"24,450",300,-1.21%,"5,000","103,297","422,483",6.82,"4,885,527",-13.74,-37.20,
41,한국조선해양,"134,500",500,+0.37%,"5,000","95,190","70,773",17.87,"108,142",-10.30,-7.42,
42,SK바이오팜,"121,000","1,000",-0.82%,500,"94,759","78,313",7.17,"82,118",-175.62,-135.18,
43,롯데케미칼,"270,000","5,000",+1.89%,"5,000","92,544","34,275",26.36,"153,427",12.47,1.22,
44,한온시스템,"16,950",200,-1.17%,100,"90,479","533,800",18.86,"593,366",67.00,5.09,
45,한화솔루션,"45,400",550,-1.20%,"5,000","86,840","191,278",17.45,"504,281",12.17,5.30,
46,LG디스플레이,"24,250",0,0.00%,"5,000","86,770","357,816",19.71,"1,610,843",25.69,-0.79,
47,우리금융지주,"11,950",100,+0.84%,"5,000","86,311","722,268",26.05,"1,547,576",5.93,5.87,
48,KT,"32,050",400,-1.23%,"5,000","83,686","261,112",44.16,"643,871",11.12,4.76,
49,고려아연,"442,000","3,000",-0.67%,"5,000","83,405","18,870",21.47,"19,185",12.94,8.37,
50,기업은행,"10,700",50,+0.47%,"5,000","79,640","744,301",12.83,"1,055,045",5.24,6.44,
51,현대글로비스,"210,500","2,500",-1.17%,500,"78,938","37,500",34.63,"99,890",13.72,12.45,
